Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202 000 000 193,00;4;CRS DU MEDOC;0;N/A;2;4;2;1;-1;-1;1;;-1;1;5;1;50
202 000 000 194,00;3;783;0;N/A;1;4;0;1;54;400;2;;-1;1;0;1;70
202 000 000 195,00;3;313;0;N/A;2;3;0;2;9;140;1;;-1;1;0;1;70
202 000 000 196,00;4;N/A;0;N/A;1;4;3;1;-1;-1;1;;-1;1;0;1;50
202 000 000 197,00;3;4;0;A;-1;2;0;2;0;0;1;;-1;2;0;1;50
202 000 000 198,00;3;D.5;0;N/A;2;2;0;1;0;0;1;;-1;2;0;8;50
202 000 000 199,00;6;N/A;0;N/A;-1;-1;0;1;0;0;1;;-1;1;0;1;50
202 000 000 200,00;4;QUINET (RUE EDGARD);0;N/A;2;1;0;1;0;0;1;;-1;1;0;1;30
202 000 000 201,00;3;41;0;N/A;2;2;0;1;24;100;1;;-1;1;0;1;50
202 000 000 202,00;4;COLLE CHEMIN DE LA;0;N/A;2;2;0;1;0;0;1;;-1;2;0;1;50
202 000 000 203,00;4;quai Rouget de l'Isle;0;N/A;2;2;0;1;-1;-1;1;;-1;1;5;1;50
202 000 000 204,00;4;N/A;0;N/A;1;4;0;1;23;300;1;;-1;1;0;1;70
202 000 000 205,00;4;N/A;0;N/A;1;4;0;1;25;900;1;;-1;1;0;1;70
202 000 000 206,00;4;N/A;0;N/A;1;5;0;1;0;100;1;;-1;1;0;1;70
202 000 000 207,00;4;N/A;0;N/A;-1;4;0;2;0;0;1;;-1;1;0;1;50
202 000 000 208,00;4;N/A;0;N/A;2;6;0;1;0;0;1;;-1;1;0;1;50
202 000 000 209,00;4;N/A;0;N/A;2;4;0;1;0;0;1;;-1;1;0;1;50
202 000 000 210,00;4;N/A;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
202 000 000 211,00;4;N/A;0;N/A;2;4;0;1;0;0;1;;-1;1;0;1;50
202 000 000 212,00;4;N/A;0;N/A;1;1;0;1;0;0;1;;-1;1;0;1;50
202 000 000 213,00;4;N/A;0;N/A;-1;2;0;2;0;0;1;;-1;1;0;1;50
202 000 000 214,00;4;N/A;0;N/A;-1;1;1;1;0;0;1;;-1;1;-1;5;50
202 000 000 215,00;4;N/A;0;N/A;2;3;0;1;0;0;3;;-1;1;0;1;50
202 000 000 216,00;4;N/A;0;N/A;2;4;1;1;0;0;1;;-1;1;-1;5;30
202 000 000 217,00;3;155;0;N/A;2;5;3;1;-1;-1;1;;-1;1;6;6;30
202 000 000 218,00;3;127;0;N/A;2;2;0;1;0;1;1;;-1;1;0;1;50
202 000 000 219,00;4;BEL AIR (R);0;N/A;2;1;0;1;0;0;1;;-1;1;0;1;50
202 000 000 220,00;3;QUEUE EN BRIE (RTE DE LA);0;N/A;1;1;0;1;-1;-1;2;;-1;1;0;1;50
202 000 000 221,00;2;19;0;N/A;3;2;0;1;-1;-1;1;;-1;1;0;1;50
202 000 000 222,00;3;MAXIME GORKI (BOULEVARD) DES N°1 AU 87;0;N/A;2;2;0;1;0;1;1;;-1;1;0;1;50
202 000 000 223,00;3;970;0;N/A;2;2;0;1;0;1;1;;-1;1;0;1;30
202 000 000 224,00;4;N/A;0;N/A;1;1;0;1;0;0;1;;-1;1;0;1;50
202 000 000 225,00;3;7;0;N/A;2;2;1;1;0;0;1;;-1;1;0;5;30
202 000 000 226,00;3;992;0;N/A;2;4;0;2;0;0;1;;-1;2;0;1;50
202 000 000 227,00;3;75;0;N/A;1;2;0;1;0;0;1;;-1;1;0;1;30
202 000 000 228,00;3;920;0;N/A;3;6;1;3;0;0;1;;-1;2;0;1;50
202 000 000 229,00;3;985;-1;N/A;2;2;0;1;25;300;1;;-1;1;0;1;80
202 000 000 230,00;3;15;0;N/A;2;2;0;1;25;100;1;;-1;1;8;1;50
202 000 000 231,00;2;147;0;N/A;2;2;0;1;6;0;1;;-1;1;0;1;80
202 000 000 232,00;2;171;-1;N/A;3;2;0;1;84;0;1;;-1;1;0;1;90
202 000 000 233,00;3;15;0;N/A;2;2;0;2;11;100;1;;-1;1;0;1;80
202 000 000 234,00;3;37;0;N/A;3;2;0;1;4;500;1;;-1;1;0;1;50
202 000 000 235,00;3;1;-1;N/A;2;2;0;1;17;500;1;;-1;1;0;1;80
